,COMPANY_NAME,DATA_CENTRE_NAME,DATA_CENTRE_ADDRESS
1,Microsoft Azure,Australia East-New South Wales,"1 Denison Street, North Sydney New South Wales 2060, Australia"
2,Amazon AWS,SYD51,"1 William Dean Street, Eastern Creek NSW 2766, Australia"
3,Stack Infrastructure,MEL01 Australia Data Center,"Truganina VIC, Australia"
4,Equinix,SY5 Sydney Data Center,"200 Bourke Road, Alexandria NSW, Australia"
5,CDC Data Centres,Eastern Creek Campus,"17 Roberts Rd, Eastern Creek NSW 2766, Australia"
6,Microsoft Azure,Australia Southeast-Victoria,"338-352 Bourke Street, Melbourne VIC, Australia"
7,Amazon AWS,SYD52,"42A Bluett Drive, Smeaton Grange NSW 2567, Australia"
8,Equinix,SY3 Alexandria Data Center,"47 Bourke Road, Alexandria NSW, Australia"
9,Equinix,SY1 Mascot Data Center,"639 Gardeners Road, Mascot NSW, Australia"
10,Equinix,ME1 Port Melbourne Data Center,"578 Lorimer Street, Port Melbourne VIC, Australia"
11,Equinix,SY4 Alexandria Data Center,"200 Bourke Road, Alexandria NSW, Australia"
12,Equinix,SY6 Sydney Data Center,"8-14 Egerton Street, Silverwater NSW 2128, Australia"
13,Equinix,PE2 Perth Data Center,"1/37 Lemnos Street, Shenton Park WA 6008, Australia"
14,NexTDC,M2 Melbourne Data Center,"75 Sharps Rd, Tullamarine VIC 3043, Australia"
15,Global Switch,Sydney East Data Center,"400 Harris Street, Ultimo NSW 2007, Australia"
16,Airtrunk,SYD1 Sydney West Data Center,"35 Huntingwood Dr, Huntingwood NSW, Australia"
17,Microsoft Azure,Australia Central-Canberra,"Canberra ACT, Australia"
18,Airtrunk,SYD3 Sydney West Data Center,"51 Huntingwood Dr, Huntingwood NSW 2148, Australia"
19,NexTDC,P1 Perth Data Center,"4 Millrose Drive, Malaga WA, Australia"
20,Equinix,ME4 Melbourne Data Center,"2 Davis Court, Derrimut VIC 3030, Australia"
21,NexTDC,S3 Sydney Data Center,"2 Broadcast Way, Artarmon NSW, Australia"
22,NexTDC,S1 Sydney Data Center,"4 Eden Park Dr, Macquarie Park NSW 2113, Australia"
23,iSeek,Sydney Data Center,"5 Broadcast Way, Artarmon NSW 2064, Australia"
24,Airtrunk,SYD2 Sydney North Data Center,"1 Sirius Road, Lane Cove West NSW 2066, Australia"
25,CDC Data Centres,Hume Campus One,"54 Sheppard Street, Hume Australian Capital Territory 2620, Australia"
26,IBM Cloud,"SYD05 Sydney, Australia","Sydney NSW, Australia"
27,Equinix,SY7 Sydney Data Center,"Lathe Place, Unanderra NSW 2526, Australia"
28,NexTDC,M1 Melbourne Data Center,"826 Lorimer St, Port Melbourne VIC 3207, Australia"
29,Equinix,ME2 Melbourne Data Center,"578 Lorimer Street, Port Melbourne Victoria 3207, Australia"
30,Equinix,PE3 Perth IBX Data Center,"Shenton Park WA 6008, Australia"
31,Equinix,AE1 Adelaide Data Center,"274 Hindley Street, Adelaide SA, Australia"
32,Equinix,SY9X Sydney xScale Data Center,"10 Grand Avenue, Rosehill NSW 2142, Australia"
33,Amazon AWS,AWS MEL - 22 Delivery,"22 Delivery Dr, Truganina VIC 3029, Australia"
34,Equinix,BR1 Brisbane Data Center,"54-58 Alfred Street, Fortitude Valley QLD, Australia"
35,NexTDC,B1 Brisbane Data Center,"20 Wharf St, Brisbane City QLD, Australia"
36,NexTDC,B2 Brisbane Data Center,"454 St Pauls Terrace, Fortitude Valley QLD 4006, Australia"
37,DCI Data Centers,Adelaide 01 Data Center,"Kidman Park SA, Australia"
38,Oracle,Australia East ap-sydney-1,"Sydney NSW, Australia"
39,iSeek,Brisbane Airport Data Center,"Lomandra Drive, Brisbane Airport QLD, Australia"
40,Amazon AWS,SYD5 (Fujitsu WSDC),"6 Bellevue Circuit, Pemulwuy NSW 2145, Australia"
