,Year,Model_name
1,2025,"['BMW', '4-series']"
2,2024,"['BMW', '4-series']"
3,2026,"['BMW', '8-series']"
4,2024,"['BMW', '8-series']"
5,2026,"['BMW', 'M2']"
6,2025,"['BMW', 'M2']"
7,2025,"['BMW', '2-series', 'Gran', 'Coupe']"
8,2026,"['BMW', '3-series']"
9,2024,"['BMW', '3-series']"
10,2025,"['BMW', '5-series']"
11,2026,"['BMW', 'i4']"
12,2026,"['BMW', 'i5']"
13,2025,"['BMW', 'M3']"
14,2024,"['BMW', 'M3']"
15,2026,"['BMW', 'M5']"
16,2025,"['BMW', 'M5']"
17,2026,"['BMW', 'iX']"
18,2027,"['BMW', 'iX3']"
19,2025,"['BMW', 'X6']"
20,2024,"['BMW', 'X6']"
21,2026,"['BMW', 'XM']"
22,2025,"['BMW', 'XM']"
23,2024,"['BMW', 'XM']"
24,2026,"['BMW', 'Z4']"
